categorie,nature,numero,nom,km,osm_id
TERTIAIRE,Route tertiaire,"","",1.514,w270200703
TERTIAIRE,Route tertiaire,"","",1.514,w687486247
TERTIAIRE,Route tertiaire,"","",1.512,w312344433
TERTIAIRE,Route tertiaire,"","",1.502,w1098878860
TERTIAIRE,Route tertiaire,"","",1.502,w331337458
TERTIAIRE,Route tertiaire,"","",1.502,w315752030
TERTIAIRE,Route tertiaire,"","",1.499,w328845147
TERTIAIRE,Route tertiaire,"","",1.495,w270909333
SECONDAIRE,Route secondaire,"","",1.479,w303341730
PRINCIPALE,Route primaire,"","",1.467,w501081900
TERTIAIRE,Route tertiaire,"","",1.467,w314288556
TERTIAIRE,Route tertiaire,"","",1.466,w486208947
TERTIAIRE,Route tertiaire,"",Rue RO. 236,1.465,w93285063
TERTIAIRE,Route tertiaire,"","",1.461,w330992868
TERTIAIRE,Route tertiaire,"","",1.444,w398619457
TERTIAIRE,Route tertiaire,"","",1.441,w330376720
TERTIAIRE,Route tertiaire,"","",1.441,w253759115
TERTIAIRE,Route tertiaire,"","",1.433,w880052301
TERTIAIRE,Route tertiaire,"","",1.418,w181552944
TERTIAIRE,Route tertiaire,"","",1.417,w744703432
TERTIAIRE,Route tertiaire,"","",1.406,w1020786203
TERTIAIRE,Route tertiaire,"","",1.406,w304938032
TERTIAIRE,Route tertiaire,"","",1.404,w300611012
SECONDAIRE,Route secondaire,"","",1.402,w488046519
TERTIAIRE,Route tertiaire,"","",1.390,w304029124
TERTIAIRE,Route tertiaire,"","",1.388,w703396849
TERTIAIRE,Route tertiaire,"","",1.371,w292030076
TERTIAIRE,Route tertiaire,"","",1.368,w328398621
TERTIAIRE,Route tertiaire,"","",1.363,w305326904
TERTIAIRE,Route tertiaire,"","",1.350,w305447837
TERTIAIRE,Route tertiaire,"","",1.349,w329358688
TERTIAIRE,Route tertiaire,"","",1.335,w407837212
TERTIAIRE,Route tertiaire,"","",1.334,w270211902
TERTIAIRE,Route tertiaire,"","",1.334,w303020139
TERTIAIRE,Route tertiaire,"","",1.333,w667295846
SECONDAIRE,Route secondaire,"","",1.332,w1066498411
TERTIAIRE,Route tertiaire,"","",1.317,w311250957
TERTIAIRE,Route tertiaire,"","",1.315,w205148312
PRINCIPALE,Route primaire,"","",1.314,w273063462
TERTIAIRE,Route tertiaire,"","",1.312,w400823401
TERTIAIRE,Route tertiaire,"","",1.311,w496941669
SECONDAIRE,Route secondaire,"","",1.302,w399733609
TERTIAIRE,Route tertiaire,"","",1.289,w182136058
TERTIAIRE,Route tertiaire,"","",1.286,w667295840
TERTIAIRE,Route tertiaire,"","",1.282,w273339624
TERTIAIRE,Route tertiaire,"","",1.281,w269570345
TERTIAIRE,Route tertiaire,"","",1.276,w328816907
TERTIAIRE,Route tertiaire,"","",1.271,w270244515
TERTIAIRE,Route tertiaire,"","",1.266,w398608948
TERTIAIRE,Route tertiaire,"","",1.262,w270364267
SECONDAIRE,Route secondaire,"","",1.253,w690295020
TERTIAIRE,Route tertiaire,"","",1.249,w1059545021
SECONDAIRE,Route secondaire,"","",1.246,w571437116
TERTIAIRE,Route tertiaire,"","",1.245,w329039658
TERTIAIRE,Route tertiaire,"","",1.236,w251658617
SECONDAIRE,Route secondaire,"","",1.233,w174108888
TERTIAIRE,Route tertiaire,"","",1.226,w667295838
TERTIAIRE,Route tertiaire,"","",1.216,w88015076
TERTIAIRE,Route tertiaire,"","",1.211,w941757712
TERTIAIRE,Route tertiaire,"","",1.210,w438165893
TERTIAIRE,Route tertiaire,"","",1.208,w292031468
PRINCIPALE,Route primaire,"",Autoroute le Prince,1.202,w690250509
PRINCIPALE,Route primaire,"",Autoroute le Prince,1.200,w690250518
TERTIAIRE,Route tertiaire,"","",1.194,w705780539
TERTIAIRE,Route tertiaire,"","",1.188,w310939948
TERTIAIRE,Route tertiaire,"","",1.182,w1122742635
TERTIAIRE,Route tertiaire,"","",1.181,w340258276
SECONDAIRE,Route secondaire,"","",1.181,w496723249
TERTIAIRE,Route tertiaire,"","",1.180,w301282879
TERTIAIRE,Route tertiaire,"","",1.176,w666653801
TERTIAIRE,Route tertiaire,"","",1.172,w270470468
TERTIAIRE,Route tertiaire,"","",1.160,w217665229
TERTIAIRE,Route tertiaire,"","",1.153,w325602546
TERTIAIRE,Route tertiaire,"","",1.149,w303331420
SECONDAIRE,Route secondaire,"","",1.149,w690693508
TERTIAIRE,Route tertiaire,"","",1.148,w274492659
TERTIAIRE,Route tertiaire,"","",1.135,w273312936
TERTIAIRE,Route tertiaire,"","",1.127,w628921298
